stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\franc\source\repos\Dravok\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00665] added dtor for sub_bitmap 000001F272DCD7C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00667] added dtor for sub_bitmap 000001F272DCED10, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00668] added dtor for sub_bitmap 000001F272DCE740, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00670] added dtor for sub_bitmap 000001F272DCDD90, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00672] added dtor for sub_bitmap 000001F272DCF4D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00674] added dtor for sub_bitmap 000001F272DCD9B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00676] added dtor for sub_bitmap 000001F272DCEB20, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00678] added dtor for sub_bitmap 000001F272DCDF80, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00680] added dtor for sub_bitmap 000001F272DCE170, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00682] added dtor for sub_bitmap 000001F272DCF0F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00684] added dtor for sub_bitmap 000001F272DCE550, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00685] added dtor for sub_bitmap 000001F272DCF2E0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00688] added dtor for sub_bitmap 000001F272DD1F40, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00690] added dtor for sub_bitmap 000001F272DD2130, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00692] added dtor for sub_bitmap 000001F272DD3E40, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00694] added dtor for sub_bitmap 000001F272DD0BE0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00696] added dtor for sub_bitmap 000001F272DD3870, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00698] added dtor for sub_bitmap 000001F272DD0DD0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00700] added dtor for sub_bitmap 000001F272DD2EC0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00702] added dtor for sub_bitmap 000001F272DD2320, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00703] added dtor for sub_bitmap 000001F272DD4220, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00705] added dtor for sub_bitmap 000001F272DD30B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00708] added dtor for sub_bitmap 000001F272DD4600, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00709] added dtor for sub_bitmap 000001F272DD0FC0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00711] added dtor for sub_bitmap 000001F272DD11B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00713] added dtor for sub_bitmap 000001F272DD2510, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00715] added dtor for sub_bitmap 000001F272DD2700, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00717] added dtor for sub_bitmap 000001F272DD3490, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00719] added dtor for sub_bitmap 000001F272DD28F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00721] added dtor for sub_bitmap 000001F272DD13A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00722] added dtor for sub_bitmap 000001F272DD32A0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00724] added dtor for sub_bitmap 000001F272DD2AE0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00726] added dtor for sub_bitmap 000001F272DD1590, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00728] added dtor for sub_bitmap 000001F272DD2CD0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00730] added dtor for sub_bitmap 000001F272DD1780, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00732] added dtor for sub_bitmap 000001F272DD3680, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00733] added dtor for sub_bitmap 000001F272DD3A60, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00735] added dtor for sub_bitmap 000001F272DD3C50, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00737] added dtor for sub_bitmap 000001F272DD4030, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00739] added dtor for sub_bitmap 000001F272DD4410, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00741] added dtor for sub_bitmap 000001F272DD1970, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00743] added dtor for sub_bitmap 000001F272DD1B60, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00745] added dtor for sub_bitmap 000001F272DD1D50, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00747] added dtor for sub_bitmap 000001F272DD47F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00749] added dtor for sub_bitmap 000001F272DD77B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00751] added dtor for sub_bitmap 000001F272DD96B0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00753] added dtor for sub_bitmap 000001F272DD8920, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00755] added dtor for sub_bitmap 000001F272DD8730, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00757] added dtor for sub_bitmap 000001F272DD92D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00759] added dtor for sub_bitmap 000001F272DD8160, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00761] added dtor for sub_bitmap 000001F272DD6C10, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00763] added dtor for sub_bitmap 000001F272DD6E00, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00764] added dtor for sub_bitmap 000001F272DD71E0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00766] added dtor for sub_bitmap 000001F272DD6FF0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00769] added dtor for sub_bitmap 000001F272DD94C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00771] added dtor for sub_bitmap 000001F272DD73D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00773] added dtor for sub_bitmap 000001F272DD8D00, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00775] added dtor for sub_bitmap 000001F272DD8B10, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00777] added dtor for sub_bitmap 000001F272DD9E70, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00779] added dtor for sub_bitmap 000001F272DDA060, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00781] added dtor for sub_bitmap 000001F272DDA630, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00782] added dtor for sub_bitmap 000001F272DDA440, func 00007FFF473D12CB
